2026-03-06 13:06:58 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user admin@aegis.io
2026-03-06 13:06:58 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user admin@aegis.io
2026-03-06 13:08:03 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-03-06 13:08:03 | WARNING  | app.api.routes.fraud:predict_fraud:101 | Validation error: Columns must be same length as key
2026-03-06 13:08:19 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-03-06 13:08:19 | WARNING  | app.api.routes.fraud:predict_fraud:101 | Validation error: Columns must be same length as key
2026-03-06 13:19:47 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-03-06 13:19:47 | WARNING  | app.api.routes.fraud:predict_fraud:101 | Validation error: shapes (1,12) and (5,4) not aligned: 12 (dim 1) != 5 (dim 0)
2026-03-06 17:36:16 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user testuser@example.com
2026-03-06 17:36:16 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user testuser@example.com
2026-03-06 17:36:45 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user testuser@example.com
2026-03-06 17:36:45 | WARNING  | app.api.routes.fraud:predict_fraud:101 | Validation error: Hour must be between 0 and 23
2026-03-06 17:37:08 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user testuser@example.com
2026-03-06 17:37:08 | WARNING  | app.api.routes.fraud:predict_fraud:101 | Validation error: Hour must be between 0 and 23
2026-03-06 17:37:48 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user testuser@example.com
2026-04-03 19:48:09 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user admin@aegis.io
2026-04-03 19:48:09 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user admin@aegis.io
2026-04-03 19:48:25 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 19:54:00 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 19:54:00 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 19:59:57 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user nikhil93020@gmail.com
2026-04-03 19:59:57 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user nikhil93020@gmail.com
2026-04-03 20:10:25 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 20:10:25 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user nikhil93020@gmail.com
2026-04-03 20:10:26 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user nikhil93020@gmail.com
2026-04-03 20:11:19 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 20:11:19 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 20:11:29 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 20:11:29 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 20:12:05 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user new_testuser@example.com
2026-04-03 20:12:32 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user new_testuser@example.com
2026-04-03 20:12:43 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user new_testuser@example.com
2026-04-03 20:14:15 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user nikhil93020@gmail.com
2026-04-03 20:14:15 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 20:14:16 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user nikhil93020@gmail.com
2026-04-03 20:15:00 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 20:15:00 | INFO     | app.api.routes.fraud:fraud_score:60 | Fraud score requested by user new_testuser@example.com
2026-04-03 20:17:16 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user nikhil93020@gmail.com
2026-04-03 20:20:18 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user nikhil93020@gmail.com
2026-04-03 20:20:22 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user nikhil93020@gmail.com
2026-04-03 20:20:23 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user nikhil93020@gmail.com
2026-04-03 20:20:43 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user nikhil93020@gmail.com
2026-04-03 20:20:45 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user nikhil93020@gmail.com
2026-04-03 20:20:58 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user nikhil93020@gmail.com
2026-04-03 20:23:43 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:23:43 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
2026-04-03 20:24:57 | INFO     | app.api.routes.fraud:predict_fraud:83 | Fraud prediction requested by user admin@aegis.io
